 : 15
banned : 2
type : 2
smoke : 2
dangers : 2
danger : 2
odour : 2
chemicals : 2
house : 2
smoker : 2
habit : 2
effort : 2
causes : 2
unaware : 2
reason : 2
teenagers : 2
youth : 2
dreams : 2
part : 2
birthplace : 2
extraordinary : 2
spent : 2
mother : 2
land : 2
birth : 2
pride : 2
schools : 2
pay : 2
gandhi : 2
menace : 2
protection : 2
unique : 2
attention : 2
work : 2
tried : 2
belviji : 2
certain : 2
programme : 2
innovative : 2
anniversary : 2
kilometers : 2
better : 2
step : 2
levels : 2
nation : 2
advance : 2
detail : 2
whereas : 2
visit : 2
tourist : 2
destinations : 2
possible : 2
stay : 2
diversity : 2
celebrated : 2
rank : 2
index : 2
enthusiasm : 2
vigour : 2
namaskar : 1
personality : 1
cherished : 1
indians : 1
respect : 1
affection : 1
core : 1
hardly : 1
deep : 1
regard : 1
revere : 1
myriad : 1
phases : 1
eras : 1
passed : 1
sister… : 1
turns : 1
ninety : 1
leaving : 1
tour : 1
chat : 1
akin : 1
brother : 1
speaking : 1
affectionately : 1
usually : 1
refrain : 1
personal : 1
conversations : 1
earnestly : 1
concerned : 1
eager : 1
everything : 1
concerning : 1
satisfaction : 1
reassurance : 1
lies : 1
progress : 1
change : 1
gaining : 1
heights : 1
advent : 1
air : 1
bound : 1
full : 1
hopes : 1
energy : 1
zest : 1
resolves : 1
ensuing : 1
sparkle : 1
mahotsava : 1
garba : 1
durga : 1
puja : 1
dussehra : 1
bhaiya : 1
dooj : 1
chhath : 1
puja… : 1
innumerable : 1
greetings : 1
but… : 1
this… : 1
remain : 1
deprived : 1
celebrations : 1
termed : 1
chirag : 1
tale : 1
andhera : 1
adage : 1
set : 1
order : 1
philosophical : 1
inspiration : 1
bathed : 1
shimmering : 1
lights : 1
close : 1
mired : 1
left : 1
rot : 1
yearn : 1
sweet : 1
almirahs : 1
space : 1
store : 1
elsewhere : 1
slog : 1
earn : 1
decent : 1
covering : 1
bodies : 1
radiating : 1
subsides : 1
dissipates : 1
radiant : 1
emerges : 1
distribute : 1
paucity : 1
it… : 1
naturally : 1
apparel : 1
gifts : 1
moment : 1
process : 1
items : 1
excess : 1
required : 1
anymore : 1
allocated : 1
ngos : 1
formed : 1
startups : 1
sweets : 1
food : 1
needy : 1
discreetly : 1
dispel : 1
resolve : 1
accrued : 1
double : 1
festivals… : 1
brighten : 1
immensely : 1
goddess : 1
entry : 1
traditional : 1
introduce : 1
novelty : 1
welcoming : 1
culture : 1
considered : 1
harbinger : 1
organize : 1
towns : 1
function : 1
perseverance : 1
diligence : 1
talent : 1
brought : 1
glory : 1
arrange : 1
find : 1
daughtersinlaw : 1
performing : 1
extraordinarily : 1
engaged : 1
teaching : 1
occupied : 1
spreading : 1
field : 1
doctor : 1
engineers : 1
striving : 1
justice : 1
lawyer : 1
recognize : 1
proud : 1
highlight : 1
using : 1
hashtag : 1
jointly : 1
ran : 1
mega : 1
selfie : 1
daughter : 1
globally : 1
similarly : 1
encouraging : 1
amounts : 1
strengthening : 1
paths : 1
mentioned : 1
earlier : 1
advantage : 1
known : 1
unknown : 1
indirectly : 1
written : 1
interesting : 1
contents : 1
are… : 1
respected : 1
name : 1
hail : 1
roing : 1
pradesh : 1
result : 1
replied : 1
negative : 1
returning : 1
purchased : 1
benefited : 1
deal : 1
noticed : 1
contains : 1
wishif : 1
thinking : 1
anew : 1
include : 1
content : 1
see… : 1
bear : 1
trust : 1
pradhan : 1
sevak : 1
principal : 1
servant : 1
done : 1
writing : 1
reading : 1
special : 1
pointing : 1
shortcomings : 1
entrusted : 1
