 : 15
topic : 1
discussion : 1
phone : 1
conversations : 1
tend : 1
begin : 1
lament : 1
sluggishly : 1
writing : 1
conversing : 1
expressing : 1
auspicious : 1
isso : 1
reasons : 1
remarks : 1
catastrophe : 1
expected : 1
fight : 1
long : 1
enough : 1
unending : 1
slew : 1
east : 1
fury : 1
amphan : 1
west : 1
nisarg : 1
brothers : 1
sisters : 1
bear : 1
brunt : 1
swarming : 1
locusts… : 1
nothing : 1
else : 1
intermittent : 1
earthquakes : 1
deal : 1
designs : 1
neighbours : 1
matter : 1
fact : 1
rare : 1
occasions : 1
gets : 1
hear : 1
simultaneously : 1
stage : 1
linking : 1
minor : 1
descend : 1
calamities : 1
confront : 1
us… : 1
question : 1
lead : 1
rational : 1
presume : 1
basis : 1
half : 1
absolutely : 1
given : 1
vary : 1
fifty : 1
determine : 1
goodness : 1
historically : 1
brighter : 1
ensuring : 1
victory : 1
kinds : 1
disasters : 1
centuries : 1
myriad : 1
tyrants : 1
invaded : 1
pushing : 1
edge : 1
abyss : 1
idea : 1
fabric : 1
bharat : 1
wiped : 1
annihilated : 1
overcame : 1
scourge : 1
gloriously : 1
familiar : 1
adage : 1
permanent… : 1
continuous : 1
reminded : 1
stem : 1
steady : 1
flow… : 1
sank : 1
trace : 1
pebbles : 1
impediment : 1
divine : 1
grace : 1
witnessed : 1
series : 1
colossal : 1
numerous : 1
forms : 1
creations : 1
kept : 1
evolving : 1
overcoming : 1
hurdles : 1
resurgence : 1
researches : 1
concepts : 1
propounded : 1
worst : 1
process : 1
undeterred : 1
enriching : 1
leading : 1
progress : 1
transformed : 1
stepping : 1
success : 1
troubled : 1
step : 1
prove : 1
setter : 1
breaker : 1
fronts : 1
attain : 1
goals : 1
reaching : 1
wings : 1
countrymen…all : 1
you…i : 1
firm : 1
glorious : 1
irrespective : 1
magnitude : 1
confronting : 1
…way : 1
inspires : 1
serve : 1
selflessly : 1
extended : 1
difficult : 1
reinforced : 1
ushering : 1
realising : 1
universal : 1
brotherhood…at : 1
noticed : 1
territorial : 1
integrity : 1
soil : 1
befitting : 1
honours : 1
friendship…she : 1
capable : 1
giving : 1
appropriate : 1
adversary : 1
shying : 1
soldiers : 1
proven : 1
glory : 1
bravery : 1
martyrdom : 1
bows : 1
reverence : 1
gratitude : 1
painfully : 1
regrets : 1
loss : 1
inner : 1
pride : 1
sons…their : 1
constitutes : 1
power : 1
referring : 1
sons : 1
join : 1
words : 1
father : 1
shaheed : 1
kundan : 1
kumar : 1
bihar : 1
mentioned : 1
grandsons : 1
defend : 1
permeates : 1
martyr : 1
truly : 1
displayed : 1
worthy : 1
veneration : 1
jawans : 1
security : 1
lives…and : 1
applies : 1
pursuits : 1
endeavours : 1
direction…we : 1
strive : 1
capabilities : 1
capacities : 1
borders : 1
tribute : 1
truest : 1
deepest : 1
rajni : 1
assam : 1
watching : 1
happened : 1
eastern : 1
vow…and : 1
vow : 1
…and : 1
receiving : 1
corner : 1
expressed : 1
letters : 1
adopted : 1
similarly : 1
mohan : 1
ramamurthy : 1
madurai : 1
writes : 1
ordnance : 1
factories : 1
lagged : 1
advantage : 1
prior : 1
experience… : 1
fields : 1
